SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,301 Crescent Ct #3117,San Francisco,CA,94134,598888,1,1.0,San Francisco,807,114415,2007,9,742,507,Active,August-7-2021 02:30 PM,August-7-2021 04:30 PM,http://www.redfin.com/CA/San-Francisco/301-Crescent-Ct-94134/unit-3117/home/22892122,San Francisco MLS,421576806,N,Y,37.711115,-122.388595
MLS Listing,,Single Family Residential,2275 28th Ave,San Francisco,CA,94116,1198000,3,2.0,San Francisco,1370,3000,1930,9,874,,Active,,,http://www.redfin.com/CA/San-Francisco/2275-28th-Ave-94116/home/1517014,San Francisco MLS,421571267,N,Y,37.744974,-122.4857413
MLS Listing,,Condo/Co-op,3747 Divisadero St,San Francisco,CA,94123,2950000,3,3.0,San Francisco,,2504,1993,10,,,Active,August-8-2021 12:00 PM,August-8-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/3747-Divisadero-St-94123/home/854281,San Francisco MLS,421576783,N,Y,37.8043017,-122.4440425
MLS Listing,,Single Family Residential,810 Douglass St,San Francisco,CA,94114,2199000,2,2.0,San Francisco,1125,3123,1900,10,1955,,Active,,,http://www.redfin.com/CA/San-Francisco/810-Douglass-St-94114/home/1336759,San Francisco MLS,421579067,N,Y,37.750519,-122.438748
MLS Listing,,Condo/Co-op,960 Market St #303,San Francisco,CA,94102,880000,1,1.0,San Francisco,640,,,10,1375,745,Active,,,http://www.redfin.com/CA/San-Francisco/960-Market-St-94102/unit-303/home/175867671,San Francisco MLS,421579028,N,Y,37.7831239,-122.4095552
MLS Listing,,Single Family Residential,129 30th St,San Francisco,CA,94110,1799000,3,2.0,San Francisco,1840,2200,1900,10,978,,Active,August-8-2021 02:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/129-30th-St-94110/home/806264,San Francisco MLS,421578872,N,Y,37.74205,-122.423855
MLS Listing,,Multi-Family (2-4 Unit),70 Onondaga Ave,San Francisco,CA,94112,1100000,4,4.0,San Francisco,2805,3036,1958,10,392,,Active,,,http://www.redfin.com/CA/San-Francisco/70-Onondaga-Ave-94112/home/2037867,San Francisco MLS,421578548,N,Y,37.7220794,-122.439133
MLS Listing,,Condo/Co-op,38 Lusk St #2,San Francisco,CA,94107,1249000,2,2.0,San Francisco,1208,3825,1995,10,1034,360,Active,August-7-2021 11:30 AM,August-7-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/38-Lusk-St-94107/unit-2/home/12396041,San Francisco MLS,421525370,N,Y,37.7784196,-122.3948033
MLS Listing,,Condo/Co-op,5900 3rd St #2415,San Francisco,CA,94124,695000,1,1.0,San Francisco,823,,2010,10,844,450,Active,,,http://www.redfin.com/CA/San-Francisco/5900-3rd-St-94124/unit-2415/home/40629166,San Francisco MLS,421578530,N,Y,37.724666,-122.395268
MLS Listing,,Single Family Residential,964 Avalon Ave,San Francisco,CA,94112,899000,2,1.0,San Francisco,,1751,1950,10,,,Active,,,http://www.redfin.com/CA/San-Francisco/964-Avalon-Ave-94112/home/985175,San Francisco MLS,421578371,N,Y,37.7247792,-122.4239081
MLS Listing,,Townhouse,20 Scott Aly,San Francisco,CA,94107,965000,2,1.0,San Francisco,1092,14872,1997,11,884,226,Active,,,http://www.redfin.com/CA/San-Francisco/20-Scott-Aly-94107/home/2034350,BAREIS,421578651,N,Y,37.7796913,-122.402467
MLS Listing,,Vacant Land,337 Mullen Ave,San Francisco,CA,94110,325000,0,,San Francisco,,2099,,11,,,Active,,,http://www.redfin.com/CA/San-Francisco/337-Mullen-Ave-94110/unit-V/home/110063664,San Francisco MLS,421578658,N,Y,37.746355,-122.405753
MLS Listing,,Condo/Co-op,488 Folsom St #4401,San Francisco,CA,94105,4100000,3,3.0,San Francisco,1934,,2019,11,2120,1847,Active,,,http://www.redfin.com/CA/San-Francisco/488-Folsom-St-94105/unit-4401/home/169571699,San Francisco MLS,421578656,N,Y,37.7878074,-122.3943328
MLS Listing,,Condo/Co-op,1256 York St,San Francisco,CA,94110,1395000,3,1.5,San Francisco,1420,2577,1925,11,982,,Active,August-7-2021 12:00 PM,August-7-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/1256-York-St-94110/home/110052081,San Francisco MLS,421563899,N,Y,37.7519321,-122.4083003
MLS Listing,,Multi-Family (2-4 Unit),847 Castro St,San Francisco,CA,94114,2275000,3,4.0,San Francisco,2224,1950,1910,11,1023,,Active,August-8-2021 02:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/847-Castro-St-94114/home/1621707,San Francisco MLS,421576060,N,Y,37.7554384,-122.4341914
MLS Listing,,Condo/Co-op,3131 Pierce St Unit TH101,San Francisco,CA,94123,2495000,2,2.5,San Francisco,1731,,,11,1441,888,Active,August-8-2021 01:00 PM,August-8-2021 03:00 PM,http://www.redfin.com/CA/San-Francisco/3131-Pierce-St-94123/unit-TH101/home/175852532,San Francisco MLS,421578560,N,Y,37.7989774,-122.4394952
MLS Listing,,Condo/Co-op,249 Diamond St,San Francisco,CA,94114,1695000,3,1.0,San Francisco,1706,3485,1908,11,994,350,Active,August-7-2021 12:00 PM,August-7-2021 02:00 PM,http://www.redfin.com/CA/San-Francisco/249-Diamond-St-94114/home/676040,San Francisco MLS,421578569,N,Y,37.7583804,-122.4366364
MLS Listing,,Condo/Co-op,88 Townsend St #319,SAN FRANCISCO,CA,94107,1380000,2,2.0,SAN FRANCISCO,1150,,2004,11,1200,725,Active,August-8-2021 02:00 PM,August-8-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/88-Townsend-St-94102/unit-319/home/12401575,MLSListings,ML81855394,N,Y,37.7811985,-122.3906654
MLS Listing,,Multi-Family (5+ Unit),540 Cole St,San Francisco,CA,94117,4200000,0,,San Francisco,6150,4373,1911,11,683,,Active,,,http://www.redfin.com/CA/San-Francisco/540-Cole-St-94117/home/2030812,San Francisco MLS,421574306,N,Y,37.7700002,-122.4500191
MLS Listing,,Multi-Family (5+ Unit),635 Ashbury St,San Francisco,CA,94117,3725000,0,,San Francisco,7900,2500,1905,11,472,,Active,,,http://www.redfin.com/CA/San-Francisco/635-Ashbury-St-94117/home/1899217,San Francisco MLS,421578532,N,Y,37.7694579,-122.4471202
MLS Listing,,Condo/Co-op,1310 Fulton St #309,San Francisco,CA,94117,999000,2,2.0,San Francisco,948,,1989,11,1054,654,Active,August-7-2021 11:00 AM,August-7-2021 01:00 PM,http://www.redfin.com/CA/San-Francisco/1310-Fulton-St-94117/unit-309/home/593908,San Francisco MLS,421578451,N,Y,37.7770163,-122.4384478
MLS Listing,,Single Family Residential,266 Edinburgh St,San Francisco,CA,94112,848000,2,1.0,San Francisco,1073,2495,1922,11,790,,Active,August-7-2021 02:00 PM,August-7-2021 04:00 PM,http://www.redfin.com/CA/San-Francisco/266-Edinburgh-St-94112/home/773249,San Francisco MLS,421572458,N,Y,37.7249547,-122.4294829
